Date,Visitor,Visitor Score,Home Team,Home Score,Line
12/15/2012,Nevada-Reno, ,Arizona, ,9.5
12/15/2012,Toledo, ,Utah State, ,9.5
12/20/2012,Brigham Young, ,San Diego State, ,-3.0
12/21/2012,Ball State, ,U-C-F, ,8.0
12/22/2012,East Carolina, ,UL-Lafayette, ,5.5
12/22/2012,Washington, ,Boise State, ,5.0
12/24/2012,S-M-U, ,Fresno State, ,10.5
12/26/2012,Central Michigan, ,Western Kentucky, ,6.0
12/27/2012,Bowling Green, ,San Jose State, ,7.5
12/27/2012,Cincinnati, ,Duke, ,-7.5
12/27/2012,Baylor, ,U.C.L.A., ,2.0
12/28/2012,Ohio, ,UL-Monroe, ,7.0
12/28/2012,Rutgers, ,Virginia Tech, ,2.5
12/28/2012,Minnesota, ,Texas Tech, ,13.0
12/29/2012,Air Force, ,Rice, ,-2.0
12/29/2012,West Virginia, ,Syracuse, ,-4.0
12/29/2012,Oregon State, ,Texas, ,-1.5
12/29/2012,Texas Christian, ,Michigan State, ,-2.5
12/31/2012,No Carolina State, ,Vanderbilt, ,6.5
12/31/2012,Georgia Tech, ,Southern Cal, ,10.0
12/31/2012,Iowa State, ,Tulsa, ,0.0
12/31/2012,Clemson, ,Louisiana State, ,3.5
01/01/2013,Purdue, ,Oklahoma State, ,17.0
01/01/2013,Northwestern, ,Mississippi State, ,2.0
01/01/2013,Michigan, ,South Carolina, ,3.5
01/01/2013,Nebraska, ,Georgia, ,10.0
01/01/2013,Wisconsin, ,Stanford, ,6.5
01/01/2013,Northern Illinois, ,Florida State, ,14.0
01/02/2013,Louisville, ,Florida, ,14.0
01/03/2013,Kansas State, ,Oregon, ,9.0
01/04/2013,Texas A+M, ,Oklahoma, ,-4.5
01/05/2013,Pittsburgh, ,Mississippi, ,3.5
01/06/2013,Arkansas State, ,Kent State, ,-5.0
01/07/2013,Alabama, ,Notre Dame, ,-9.5
